No	Category	Subcategory	Description	Qty	UOM	Price/Unit (RM)	Total (RM)	Update Date	Supplier	Note
1	Aggregates	Cement & Mortar	Cement 50kg Bag	384	BAG	24	9216	2025-10-08	E SHENG HARDWARE (JH) SDN BHD	
2	Aggregates	Cement & Mortar	Cement 50kg Bag	2	BAG	24	48	2025-11-20		
3	Aggregates	Cement & Mortar	Cement 50kg Bag	1	BAG	24	24	2026-01-20	NILAI AGRICULTURE ENTERPRISE	
4	Aggregates	Cement & Mortar	Cement 50kg Bag	40	BAG	24	960	2025-11-20	NILAI AGRICULTURE ENTERPRISE	
5	Aggregates	Cement & Mortar	Cement 50kg Bag	5	BAG	24	110.00	2026-02-11	PERNIAGAAN BAHAN-BAHAN BINAAN JAYA	src=QT-005928;brand_unknown=1
6	Aggregates	Cement & Mortar	Cement 50kg Bag	5	BAG	24	110	2026-02-13	PERNIAGAAN BAHAN-BAHAN BINAAN JAYA	src=I-090102+I-090103
7	Aggregates	Cement & Mortar	Cement Gum 88 25kg	4	bag	16.00	64.00	2026-02-16		Brand/Type in Description
8	Aggregates	Cement & Mortar	Cima NS Cement Green 50kg Bag	40	BAG	24	960	2025-10-16	E SHENG HARDWARE (JH) SDN BHD	
9	Aggregates	Cement & Mortar	Flexi Simen	25	BAG	22.5	562.5	2026-02-13	PERNIAGAAN BAHAN-BAHAN BINAAN JAYA	src=I-090102+I-090103;combined_qty=20+5
10	Aggregates	Cement & Mortar	Portland Cement 50kg Bag	35	BAG	24	840	2024-07-09	BILAL HARDWARE	
11	Aggregates	Cement & Mortar	Ready Mix Concrete G20 (Per m3)	1	M3	355.00	355	2026-02-04	XIN LONG TRACTOR ENGINEERING	price per m3
12	Aggregates	Cement & Mortar	Ready Mix Concrete G25 (Per m3)	1	M3	365	365	2026-02-04	XIN LONG TRACTOR ENGINEERING	price per m3
13	Aggregates	Cement & Mortar	Ready Mix Concrete G30 (Per m3)	1	M3	375	375	2026-02-04	XIN LONG TRACTOR ENGINEERING	price per m3
14	Aggregates	Cement & Mortar	YTL PCC Cement Castle 50kg Bag	40	BAG	24	960	2026-02-12	PERNIAGAAN BAHAN-BAHAN BINAAN JAYA	src=QT-005929
15	Aggregates	Sand & Aggregates	3/4" Aggregate (10-Wheel Truck)	1	TRIP	850	850	2025-11-04	E SHENG HARDWARE (JH) SDN BHD	Malay: Batu = Aggregate
16	Aggregates	Sand & Aggregates	3/4" Aggregate (10-Wheel Truck)	1	TRIP	830.00	830	2026-02-04	XIN LONG TRACTOR ENGINEERING	10-wheel 17-18T +/-
17	Aggregates	Sand & Aggregates	3/4" Aggregate (Bag)	6	BAG	5	30	2025-09-30	NILAI AGRICULTURE ENTERPRISE	Malay: Batu = Aggregate
18	Aggregates	Sand & Aggregates	3/4" Aggregate (Scoop)	4	SCOOP	80	320	2025-09-30	NILAI AGRICULTURE ENTERPRISE	Malay: Batu = Aggregate
19	Aggregates	Sand & Aggregates	Aggregate 3/4"	2	TRIP	850	1700	2025-11-04	E SHENG HARDWARE (JH) SDN BHD	
20	Aggregates	Sand & Aggregates	Coarse Aggregate (10-Wheel Truck)	1	TRIP	850	850	2025-11-04	E SHENG HARDWARE (JH) SDN BHD	Malay: Batu Kasaran
21	Aggregates	Sand & Aggregates	Coarse Sand	1	TRIP	800	800			
22	Aggregates	Sand & Aggregates	Coarse Sand	2	SCOOP	85	170	2026-02-16		Note=Pasir Kasar (Malay name)
23	Aggregates	Sand & Aggregates	Coarse Sand (10-Wheel Truck)	1	TRIP	860	860	2026-02-04	E SHENG HARDWARE (JH) SDN BHD	Malay: Pasir Kasar, 1 trip ~= 18T +/-
24	Aggregates	Sand & Aggregates	Coarse Sand (10-Wheel Truck)	1	TRIP	850	850	2026-02-04	XIN LONG TRACTOR ENGINEERING	10-wheel 17-18T +/-
